기준년월일,시군구명,남성 10세미만 유동인구수,남성 10-14세 유동인구수,남성 15-19세 유동인구수,남성 20-24세 유동인구수,남성 25-29세 유동인구수,남성 30-34세 유동인구수,남성 35-39세 유동인구수,남성 40-44세 유동인구수,남성 45-49세 유동인구수,남성 50-54세 유동인구수,남성 55-59세 유동인구수,남성 60-64세 유동인구수,남성 65-69세 유동인구수,남성 70세이상 유동인구수,여성 10세미만 유동인구수,여성 10-14세 유동인구수,여성 15-19세 유동인구수,여성 20-24세 유동인구수,여성 25-29세 유동인구수,여성 30-34세 유동인구수,여성 35-39세 유동인구수,여성 40-44세 유동인구수,여성 45-49세 유동인구수,여성 50-54세 유동인구수,여성 55-59세 유동인구수,여성 60-64세 유동인구수,여성 65-69세 유동인구수,여성 70세이상 유동인구수
20240103,,3204.44,,5368.31,6358.78,5573.46,7476.55,8108.42,9803.24,12553.32,13334.64,15361.61,15465.31,14516.08,12399.54,19431.39,,3672.89,5193.47,5401.41,4072.18,5068.35,4897.89,6502.95,8957.12,9536.25,11240.8,12507.99,12138.03
20240103,,1503.79,,2263.32,3471.6,4236.81,4908.33,4437.96,4747.53,6730.63,7177.9,8292.56,8317.78,7208.17,6283.29,10121.48,,2240.91,2806.6,3185.08,2711.74,4035.92,2749.24,3648.02,4195.33,4667.94,5711.26,6334.12,5509.76
20240103,,8087.8,,12329.34,16743.33,16920.87,16102.79,17033.01,17106.28,24729.56,26414.71,30658.9,28150,23834.46,18842.35,26775.83,,9228.06,12367.36,14798.02,13764.41,12315.01,12395.4,15977.18,22729.5,23584.5,24717.77,20614.2,20049.38
20240103,,6989.7,,10154.96,11924.56,12506.43,16624.68,18133.67,21421.87,27577.29,28965.53,32772.93,31920.97,27409.99,22555.66,33264.31,,6534.71,8311.26,9487.59,11019.27,10672.5,12311.42,15353.75,19491.36,19908.62,22884.13,22885.4,21999.22
20240103,,5123.89,,6537.04,7035.42,7212.51,8457.75,10424.02,11618.66,14750.9,15481.06,16672.42,16232.44,14399.52,13208.25,19206.46,,4014.7,7149.07,6655.23,4793.14,6169.3,6667.69,8739.12,10497.36,11275.69,12427.29,13751.53,13119.23
20240104,,112820.12,,143878.75,148598.51,174785.55,201542.47,227932.23,230840.72,265483.03,246569.71,249737.79,214639.33,170840.11,118599.39,136700.07,,121204.62,145519.43,129927.22,174286.74,173600.11,188742.78,201320.42,232847.26,226549.53,213648.8,176011.21,141169.75
20240104,,8625.76,,12943.23,19586.88,21876.42,22847.41,22023.73,22278.17,28704.28,32827.8,37389.31,35737.65,29791.71,22333.17,30407.05,,10097.37,12623.4,16133.96,22378.31,16583.04,15973.23,18249.95,23488.68,25657.44,30119.33,28657.92,24267.54
20240104,,10794.4,,14162.19,16955.14,17428.19,15823.04,20801.62,22529.2,27725.52,29471.18,33267.66,29763.17,26250.65,21123.88,31151,,9330.25,15462.29,12914.81,12847.95,13574.99,13957.39,18653.43,22240.73,24001.58,25476.43,24322.84,23906.84
20240104,,60431.96,,68587.64,63453.75,70432.9,89330.2,114385.1,135219.33,161980.45,147174.12,141840.96,114077.03,87272.8,59403.72,76185.15,,63323.5,70106.44,63106.23,66438.79,66512.42,85870.11,106690.63,118346.69,102873,87792.45,75164.33,62107.71
20240104,,18802.8,,32373.25,32255.91,31202.34,35892.13,42879.44,45436.05,57227.39,57522.72,60866.48,52589.53,44225.69,32442.39,42303.51,,22297.96,28831.08,26904.18,22275.52,23956.26,30746.93,40240.69,49262.79,47272.51,43394.51,39731.85,32859.31
