순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
95,충청남도,천안시 동남구,우정박물관,충남 천안시 동남구 양지말1길 11-14,문화관광,전시시설,627
96,충청남도,천안시 동남구,유관순열사유적지,충남 천안시 동남구 유관순길 38-0,역사관광,역사유적지,615
97,충청남도,천안시 동남구,스노우어드벤처,충남 천안시 동남구 종합휴양지로 200-0,레저스포츠,육상레저스포츠,589
98,충청남도,천안시 동남구,이동녕선생생가지,충남 천안시 동남구 동리4길 36-0,역사관광,역사유적지,576
99,충청남도,천안시 동남구,상장저수지,충남 천안시 동남구,자연관광,자연경관(하천/해양),562
100,충청남도,천안시 동남구,한민족역사문화공원,충남 천안시 동남구 교천지산길 284-88,문화관광,도시공원,558
101,충청남도,천안시 동남구,천안독립야구장,충남 천안시 동남구 독립기념관로 1-0,문화관광,레저스포츠시설,545
102,충청남도,천안시 동남구,베트남불교원오사,충남 천안시 동남구 서흥5길 65-36,역사관광,종교성지,540
103,충청남도,천안시 동남구,무네미낚시터,충남 천안시 동남구 장송죽계길 40-0,레저스포츠,수상레저스포츠,533
104,충청남도,천안시 동남구,JB소극장,충남 천안시 동남구 각원사길 114-8,문화관광,공연시설,519
105,충청남도,천안시 동남구,독립기념관겨레의집,충남 천안시 동남구 삼방로 159-0,문화관광,기타문화관광지,474
106,충청남도,천안시 동남구,대동저수지,충남 천안시 동남구,자연관광,자연경관(하천/해양),464
107,충청남도,천안시 동남구,천안흥타령관,충남 천안시 동남구 천안대로 412-0,문화관광,전시시설,444
108,충청남도,천안시 동남구,천안라이온스유소년스포츠클럽,충남 천안시 동남구 남부대로 300-0,레저스포츠,기타레저스포츠,409
109,충청남도,천안시 동남구,광덕계곡,충남 천안시 동남구,자연관광,자연경관(산),404
110,충청남도,천안시 동남구,우리끼리 키즈카페 캠핑마을천안신방점,충남 천안시 동남구 통정2길 10-11,문화관광,테마공원,391
111,충청남도,천안시 동남구,상록리조트대강당,충남 천안시 동남구 장산1길 41-0,문화관광,공연시설,380
112,충청남도,천안시 동남구,위너GTS골프스쿨,충남 천안시 동남구 천안천변길 79-15,레저스포츠,육상레저스포츠,354
