순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
153,충청남도,천안시 동남구,카페흑,충남 천안시 동남구 위례성로 824-36,음식,카페/찻집,2277
154,충청남도,천안시 동남구,들꽃,충남 천안시 동남구 호서대길 110-0,음식,한식,2271
155,충청남도,천안시 동남구,진성참숯석갈비본점,충남 천안시 동남구 충절로 1166-0,음식,한식,2264
156,충청남도,천안시 동남구,천안옛날호두과자천안IC점,충남 천안시 동남구 만남로 154-0,음식,간이음식,2259
157,충청남도,천안시 동남구,러버스커피,충남 천안시 동남구 풍서2길 7-9,음식,카페/찻집,2253
158,충청남도,천안시 동남구,아구드림신방통정점,충남 천안시 동남구 통정1로 27-30,음식,한식,2248
159,충청남도,천안시 동남구,생생이두부보쌈,충남 천안시 동남구 서부대로 265-0,음식,한식,2246
160,충청남도,천안시 동남구,전통수제비칼국수,충남 천안시 동남구 신부2길 7-0,음식,한식,2237
161,충청남도,천안시 동남구,편백가든천안신방점,충남 천안시 동남구 풍세로 656-0,음식,전문음식,2210
162,충청남도,천안시 동남구,학화할머니호도과자천안역점,충남 천안시 동남구 대흥로 233-0,음식,간이음식,2203
163,충청남도,천안시 동남구,포니벨라,충남 천안시 동남구 유량로 130-0,음식,카페/찻집,2184
164,충청남도,천안시 동남구,플레이스윤슬,충남 천안시 동남구 서흥5길 6-0,음식,카페/찻집,2133
165,충청남도,천안시 동남구,나정식당,충남 천안시 동남구 원성2교길 32-0,음식,전문음식,2129
166,충청남도,천안시 동남구,천안옛날호두과자천안역점,충남 천안시 동남구 대흥로 237-1,음식,간이음식,2125
167,충청남도,천안시 동남구,통정흑염소,충남 천안시 동남구 통정12로 25-0,음식,한식,2099
168,충청남도,천안시 동남구,파고다포레스트,충남 천안시 동남구 교천지산길 128-0,음식,간이음식,2054
169,충청남도,천안시 동남구,화진담,충남 천안시 동남구 보산원2길 30-4,음식,카페/찻집,2048
169,충청남도,천안시 동남구,천안식당,충남 천안시 동남구 천정1길 243-0,음식,한식,2048
171,충청남도,천안시 동남구,이디야커피천안청당동점,충남 천안시 동남구 청수11로 13-21,음식,카페/찻집,2031
172,충청남도,천안시 동남구,인정받은불낙지,충남 천안시 동남구 중앙로 16-0,음식,전문음식,2019
172,충청남도,천안시 동남구,앙프,충남 천안시 동남구 천안천변길 139-0,음식,카페/찻집,2019
174,충청남도,천안시 동남구,까치카페,충남 천안시 동남구 동평3길 60-0,음식,카페/찻집,2006
175,충청남도,천안시 동남구,푸른솔,충남 천안시 동남구 통정10로 30-0,음식,한식,1973
176,충청남도,천안시 동남구,단비,충남 천안시 동남구 태조산길 120-3,음식,한식,1968
177,충청남도,천안시 동남구,짬뽕지존터미널점 [중식],충남 천안시 동남구 만남로 17-0,음식,외국식,1958
178,충청남도,천안시 동남구,중원[중식],충남 천안시 동남구 유량로 162-0,음식,외국식,1936
179,충청남도,천안시 동남구,낙지도사본점,충남 천안시 동남구 백석로 184-0,음식,전문음식,1916
180,충청남도,천안시 동남구,고산식당,충남 천안시 동남구 버들로 152-0,음식,한식,1908
180,충청남도,천안시 동남구,숲속의문,충남 천안시 동남구 양지말2길 61-0,음식,카페/찻집,1908
182,충청남도,천안시 동남구,양지촌,충남 천안시 동남구 보산원로 14-0,음식,한식,1889
183,충청남도,천안시 동남구,태조산시골막국수,충남 천안시 동남구 태조산길 83-0,음식,한식,1872
184,충청남도,천안시 동남구,펫프닝타운,충남 천안시 동남구 각원사길 150-0,음식,카페/찻집,1847
185,충청남도,천안시 동남구,하트멍,충남 천안시 동남구 용평3길 47-73,음식,카페/찻집,1832
186,충청남도,천안시 동남구,써브웨이천안청수점,충남 천안시 동남구 청수11로 16-0,음식,간이음식,1818
186,충청남도,천안시 동남구,멍자네,충남 천안시 동남구 충절로 437-0,음식,카페/찻집,1818
188,충청남도,천안시 동남구,유량별미칡냉면,충남 천안시 동남구 태조산길 187-0,음식,한식,1798
189,충청남도,천안시 동남구,물총칼국수,충남 천안시 동남구 원성2교길 19-1,음식,한식,1795
190,충청남도,천안시 동남구,천안에서짬뽕한그릇[중식],충남 천안시 동남구 청수10길 47-0,음식,외국식,1792
191,충청남도,천안시 동남구,한마음정육식당안서점,충남 천안시 동남구 각원사길 147-0,음식,한식,1783
192,충청남도,천안시 동남구,문성생고기집,충남 천안시 동남구 개목8길 22-0,음식,한식,1780
192,충청남도,천안시 동남구,항아리보쌈청수점,충남 천안시 동남구 청수15길 12-0,음식,전문음식,1780
194,충청남도,천안시 동남구,우리한우정육식당,충남 천안시 동남구 충절로 995-0,음식,한식,1774
195,충청남도,천안시 동남구,천안짬뽕작전[중식],충남 천안시 동남구 통정12로 7-0,음식,외국식,1769
196,충청남도,천안시 동남구,구좌리얼크니손칼국수용곡점,충남 천안시 동남구 용곡6길 7-24,음식,한식,1745
197,충청남도,천안시 동남구,데이오프,충남 천안시 동남구 서리1길 26-0,음식,카페/찻집,1741
198,충청남도,천안시 동남구,꼭끼요,충남 천안시 동남구 교천지산길 342-0,음식,한식,1714
199,충청남도,천안시 동남구,인사이트커피,충남 천안시 동남구 통정10로 7-8,음식,카페/찻집,1706
200,충청남도,천안시 동남구,빽다방천안병천점,충남 천안시 동남구 아우내순대길 9-0,음식,카페/찻집,1697
201,충청남도,천안시 동남구,세이치[일식],충남 천안시 동남구 청수4로 18-0,음식,외국식,1684
202,충청남도,천안시 동남구,닭삼백집,충남 천안시 동남구 충절로 989-0,음식,한식,1682
203,충청남도,천안시 동남구,일등한우숯불구이,충남 천안시 동남구 태조산길 73-0,음식,한식,1661
