순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
280,충청남도,천안시 서북구,농가의하루천안불당점,충남 천안시 서북구 불당16길 4-3,음식,외국식,2013
281,충청남도,천안시 서북구,월남쌈김상사두정점,충남 천안시 서북구 두정로 142-0,음식,외국식,2009
281,충청남도,천안시 서북구,두발횟집천안점,충남 천안시 서북구 불당34길 3-18,음식,전문음식,2009
283,충청남도,천안시 서북구,상상갈비,충남 천안시 서북구 두정로 123-0,음식,한식,2002
284,충청남도,천안시 서북구,윤쉐프의 인생설렁탕,충남 천안시 서북구 밤개울2길 43-6,음식,한식,1996
285,충청남도,천안시 서북구,멜버른커피하우스,충남 천안시 서북구 불당34길 3-16,음식,카페/찻집,1994
286,충청남도,천안시 서북구,명륜진사갈비천안차암점,충남 천안시 서북구 밤개울1길 2-8,음식,한식,1991
287,충청남도,천안시 서북구,팔팔문어낙지볶음,충남 천안시 서북구 성성2길 52-1,음식,전문음식,1986
288,충청남도,천안시 서북구,심쿵회수산시장,충남 천안시 서북구 성정두정로 70-0,음식,전문음식,1970
288,충청남도,천안시 서북구,미도인천안불당점,충남 천안시 서북구 불당21로 67-26,음식,전문음식,1970
290,충청남도,천안시 서북구,KFC천안쌍용점,충남 천안시 서북구 충무로 205-0,음식,간이음식,1967
291,충청남도,천안시 서북구,종로제면소천안본점,충남 천안시 서북구 불당21로 67-12,음식,한식,1966
291,충청남도,천안시 서북구,티그레노어,충남 천안시 서북구 불당15길 11-0,음식,카페/찻집,1966
293,충청남도,천안시 서북구,수복추어탕,충남 천안시 서북구 두정상가3길 15-0,음식,한식,1964
294,충청남도,천안시 서북구,투썸플레이스천안신불당SK점,충남 천안시 서북구 불당19로 92-0,음식,카페/찻집,1963
294,충청남도,천안시 서북구,오월의숲커피공장점,충남 천안시 서북구 세관길 78-0,음식,카페/찻집,1963
296,충청남도,천안시 서북구,불당호치민,충남 천안시 서북구 불당16길 27-2,음식,외국식,1956
297,충청남도,천안시 서북구,투썸플레이스천안불당점,충남 천안시 서북구 불당4로 111-0,음식,카페/찻집,1955
298,충청남도,천안시 서북구,플러피커피,충남 천안시 서북구 성성4길 43-0,음식,카페/찻집,1953
299,충청남도,천안시 서북구,부자상황삼계탕,충남 천안시 서북구 동서대로 17-40,음식,한식,1940
300,충청남도,천안시 서북구,투카인즈오브커피,충남 천안시 서북구 불당16길 26-0,음식,카페/찻집,1935
301,충청남도,천안시 서북구,명장복집,충남 천안시 서북구 두정로 98-0,음식,전문음식,1930
302,충청남도,천안시 서북구,황제장어나라천안성성점,충남 천안시 서북구 성성8로 2-15,음식,전문음식,1929
303,충청남도,천안시 서북구,롯데리아천안차암점,충남 천안시 서북구 3공단6로 58-5,음식,간이음식,1927
304,충청남도,천안시 서북구,수제빵연구소,충남 천안시 서북구 백석3로 35-0,음식,간이음식,1926
305,충청남도,천안시 서북구,아빠짬뽕[중식],충남 천안시 서북구 미라5길 23-0,음식,외국식,1922
306,충청남도,천안시 서북구,뚜띠쿠치나천안점,충남 천안시 서북구 백석로 69-0,음식,외국식,1919
307,충청남도,천안시 서북구,못생긴뚱돼지,충남 천안시 서북구 서부3길 33-0,음식,한식,1917
308,충청남도,천안시 서북구,탐앤탐스천안두정점,충남 천안시 서북구 원두정2길 2-0,음식,카페/찻집,1907
309,충청남도,천안시 서북구,홍익돈까스천안2호점,충남 천안시 서북구 두정로 159-0,음식,전문음식,1902
310,충청남도,천안시 서북구,코지그라운드,충남 천안시 서북구 업성수변로 44-0,음식,카페/찻집,1900
311,충청남도,천안시 서북구,삼대째손두부직산점,충남 천안시 서북구,음식,한식,1885
312,충청남도,천안시 서북구,해물상회천안점,충남 천안시 서북구 수레터2길 19-39,음식,전문음식,1877
313,충청남도,천안시 서북구,비렌티프리미엄뷔페,충남 천안시 서북구 천안대로 1198-30,음식,전문음식,1868
314,충청남도,천안시 서북구,1987혜화동돈까스,충남 천안시 서북구 상덕로 202-2,음식,전문음식,1866
315,충청남도,천안시 서북구,학화할머니호두과자공단점,충남 천안시 서북구 공단로 80-0,음식,간이음식,1863
316,충청남도,천안시 서북구,멘야타마시[일식],충남 천안시 서북구 불당25로 142-0,음식,외국식,1861
317,충청남도,천안시 서북구,비풍초신불당점,충남 천안시 서북구 불당23로 73-30,음식,전문음식,1860
318,충청남도,천안시 서북구,미사리밀빛초계국수칼국수천안백석점,충남 천안시 서북구 백석공단1로 107-0,음식,한식,1856
319,충청남도,천안시 서북구,까미나르,충남 천안시 서북구 불당30길 14-0,음식,전문음식,1852
320,충청남도,천안시 서북구,조리고직산점,충남 천안시 서북구 직산로 18-70,음식,한식,1848
321,충청남도,천안시 서북구,장모님가마솥갈비탕,충남 천안시 서북구 성성2길 56-0,음식,한식,1845
322,충청남도,천안시 서북구,장대감참숯구이,충남 천안시 서북구 성정중5길 14-0,음식,한식,1842
323,충청남도,천안시 서북구,김명장남원추어탕,충남 천안시 서북구 서부역4길 33-0,음식,한식,1830
324,충청남도,천안시 서북구,능수면옥,충남 천안시 서북구 한들1로 134-19,음식,한식,1821
325,충청남도,천안시 서북구,헥스커피로스터스쇼룸,충남 천안시 서북구 불당29길 11-2,음식,카페/찻집,1808
326,충청남도,천안시 서북구,남도술상충청지사,충남 천안시 서북구 검은들3길 16-0,음식,한식,1806
327,충청남도,천안시 서북구,투썸플레이스천안두정점,충남 천안시 서북구 부성1길 3-0,음식,카페/찻집,1795
328,충청남도,천안시 서북구,코다리덕장백석점,충남 천안시 서북구 한들2로 46-8,음식,한식,1794
329,충청남도,천안시 서북구,증평집,충남 천안시 서북구 미라8길 5-0,음식,한식,1793
330,충청남도,천안시 서북구,그니식당평양냉면,충남 천안시 서북구 두정중7길 34-0,음식,한식,1790
331,충청남도,천안시 서북구,함흥면옥,충남 천안시 서북구 미라6길 30-0,음식,한식,1788
332,충청남도,천안시 서북구,미스터초밥,충남 천안시 서북구 두정로 229-0,음식,외국식,1775
332,충청남도,천안시 서북구,현대옥천안불당동카페거리점,충남 천안시 서북구 불당15길 20-0,음식,한식,1775
334,충청남도,천안시 서북구,오르엘크리스탈카페,충남 천안시 서북구 망향로 791-0,음식,카페/찻집,1772
335,충청남도,천안시 서북구,투썸플레이스직산점,충남 천안시 서북구 봉주로 54-0,음식,카페/찻집,1771
336,충청남도,천안시 서북구,기가찬참숯민물장어,충남 천안시 서북구 천안대로 1048-6,음식,전문음식,1770
337,충청남도,천안시 서북구,루트커피신불당점,충남 천안시 서북구 불당25로 174-0,음식,카페/찻집,1752
337,충청남도,천안시 서북구,호반닭갈비,충남 천안시 서북구 원두정9길 19-0,음식,전문음식,1752
339,충청남도,천안시 서북구,다미횟집,충남 천안시 서북구 두정로 128-0,음식,전문음식,1733
340,충청남도,천안시 서북구,투닷츠,충남 천안시 서북구 불당30길 7-7,음식,카페/찻집,1724
341,충청남도,천안시 서북구,등촌샤브칼국수신불당점,충남 천안시 서북구 번영로 201-0,음식,전문음식,1723
342,충청남도,천안시 서북구,두끼천안두정점,충남 천안시 서북구 두정로 171-0,음식,간이음식,1722
343,충청남도,천안시 서북구,옛날에시골집얼큰이24시뼈해장국천안쌍용점,충남 천안시 서북구 미라8길 11-0,음식,한식,1720
344,충청남도,천안시 서북구,시온,충남 천안시 서북구 공단로 72-0,음식,카페/찻집,1719
345,충청남도,천안시 서북구,황해[중식],충남 천안시 서북구 불당21로 67-18,음식,외국식,1702
346,충청남도,천안시 서북구,?커피,충남 천안시 서북구 불당29길 18-2,음식,카페/찻집,1695
347,충청남도,천안시 서북구,파라프라,충남 천안시 서북구 상덕로 42-7,음식,전문음식,1692
348,충청남도,천안시 서북구,입장꽃게장,충남 천안시 서북구 성진로 974-0,음식,전문음식,1691
349,충청남도,천안시 서북구,향촌흑염소백석점,충남 천안시 서북구 한들1로 93-0,음식,한식,1686
350,충청남도,천안시 서북구,이가대게,충남 천안시 서북구 미라16길 5-0,음식,전문음식,1685
351,충청남도,천안시 서북구,항아리보쌈불당점,충남 천안시 서북구 불당31길 31-0,음식,전문음식,1683
352,충청남도,천안시 서북구,모나밸리카페더그린성성호수점,충남 천안시 서북구 성성5로 141-0,음식,카페/찻집,1676
